019-06-10 01:22:56,799 | coco.py    | line 260: evaluate segmentation:
2019-06-10 01:22:56,799 | coco.py    | line 264: IU_array:
2019-06-10 01:22:56,799 | coco.py    | line 266: 0.01750
2019-06-10 01:22:56,799 | coco.py    | line 266: 0.08620
2019-06-10 01:22:56,799 | coco.py    | line 266: 0.27432
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.30657
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.22118
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.53955
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.35686
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.50458
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.39675
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.19023
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.20454
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.20483
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.28998
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.34532
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.37126
2019-06-10 01:22:56,800 | coco.py    | line 266: 0.02188
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.24925
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.67545
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.55137
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.39346
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.61197
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.14509
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.55985
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.81719
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.23648
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.83685
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.12285
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.06579
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.25335
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.41057
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.27121
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.57634
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.32177
2019-06-10 01:22:56,801 | coco.py    | line 266: 0.21576
2019-06-10 01:22:56,802 | coco.py    | line 266: 0.42179
2019-06-10 01:22:56,802 | coco.py    | line 266: 0.38243
2019-06-10 01:22:56,802 | coco.py    | line 266: 0.72175
